Wavelength,AbsorptionRate,Transmission,OpticalDensity,Material
300,0.584306997,0,72236.95242,AZO
301,0.595032441,0.090940447,81514.92602,AZO
302,0.605757886,0.838487274,74565.78982,AZO
303,0.61648333,1.51267817,72550.20329,AZO
304,0.627208775,2.116278286,68563.34146,AZO
305,0.63793422,2.652052776,66571.07764,AZO
306,0.648432102,3.122766795,66563.12111,AZO
307,0.65891788,3.531185495,63052.80149,AZO
308,0.669403658,3.880074029,61785.8924,AZO
309,0.679889437,4.172197551,60432.1596,AZO
310,0.690375215,4.410321215,57151.52289,AZO
311,0.70045125,4.597210174,54259.65352,AZO
312,0.710481247,4.735629581,54411.6073,AZO
313,0.720511244,4.82834459,48012.94798,AZO
314,0.73054124,4.878120354,49089.34737,AZO
315,0.740571237,4.887722027,49066.01145,AZO
316,0.750027157,4.859914761,42998.23294,AZO
317,0.759380564,4.797463711,43035.9143,AZO
318,0.76873397,4.70313403,42937.47752,AZO
319,0.778087376,4.579690872,39582.08211,AZO
320,0.787440783,4.429899388,38208.23093,AZO
321,0.796080556,4.256524734,34221.23875,AZO
322,0.804539663,4.062332063,37413.75328,AZO
323,0.812998771,3.850086527,33073.45699,AZO
324,0.821457878,3.622553281,33999.04032,AZO
325,0.829916985,3.382497477,29994.58593,AZO
326,0.837553361,3.13268427,32844.41137,AZO
327,0.844911786,2.875878812,28700.77683,AZO
328,0.852270212,2.614846257,30693.44471,AZO
329,0.859628637,2.352351759,26269.51517,AZO
330,0.866987063,2.091160471,25877.93829,AZO
331,0.873448138,1.834037546,22862.88301,AZO
332,0.879519061,1.583748137,24162.71578,AZO
333,0.885589985,1.343057399,23758.69474,AZO
334,0.891660908,1.114730484,20350.24473,AZO
335,0.897731831,0.901532546,20388.6221,AZO
336,0.902867343,0.706228739,21302.30194,AZO
337,0.907491302,0.531584215,19706.2962,AZO
338,0.912115261,0.380364128,18552.98278,AZO
339,0.916739219,0.255333632,15989.83787,AZO
340,0.921363178,0.15925788,14940.06865,AZO
341,0.925050193,0.094902026,15575.09668,AZO
342,0.928101993,0.065031222,15099.20187,AZO
343,0.931153792,0.072410623,14535.56503,AZO
344,0.934205592,0.119805382,13529.44352,AZO
345,0.937257391,0.209980651,11731.02123,AZO
346,0.939405111,0.345701585,11349.74911,AZO
347,0.94079943,0.529733337,10418.20883,AZO
348,0.94219375,0.764841061,10533.47777,AZO
349,0.94358807,1.053789909,11030.84944,AZO
350,0.944982389,1.399351014,8914.908965,AZO
351,0.945535805,1.812053943,8037.707154,AZO
352,0.945231155,2.325426304,7219.922091,AZO
353,0.944926505,2.977237087,6844.106006,AZO
354,0.944621855,3.802166043,6949.079662,AZO
355,0.944317205,4.783250325,6321.293248,AZO
356,0.943259409,5.863446399,5553.803632,AZO
357,0.941260181,7.031660052,5199.752078,AZO
358,0.939260953,8.317557082,4560.31399,AZO
359,0.937261725,9.745643423,4343.089303,AZO
360,0.935262497,11.31711248,3891.584824,AZO
361,0.932615513,13.08053061,3988.487429,AZO
362,0.928971981,15.28252207,3422.461776,AZO
363,0.925328449,18.0417556,2310.952395,AZO
364,0.921684918,20.78703605,2570.303893,AZO
365,0.918041386,22.94944976,2324.696727,AZO
366,0.913865462,24.67631058,2151.156572,AZO
367,0.908671726,26.30060546,1422.51089,AZO
368,0.90347799,28.08984568,1590.259628,AZO
369,0.898284255,30.01949256,1861.955184,AZO
370,0.893090519,31.98361078,1455.823512,AZO
371,0.887481912,33.88478718,989.0886986,AZO
372,0.880871889,35.6665115,645.8431937,AZO
373,0.874261866,37.28452506,651.9954798,AZO
374,0.867651844,38.69457147,464.7282433,AZO
375,0.861041821,39.86521392,202.6929548,AZO
376,0.854129187,40.83283467,91.98259993,AZO
377,0.846270893,41.65615932,44.48566626,AZO
378,0.8384126,42.39360029,50.4258024,AZO
379,0.830554306,43.08913784,64.10029882,AZO
380,0.822696012,43.76693878,51.03165853,AZO
381,0.81463558,44.44973286,52.05923531,AZO
382,0.805724041,45.16024983,50.09281084,AZO
383,0.796812502,45.92121944,56.42543608,AZO
384,0.787900963,46.75537144,71.39723502,AZO
385,0.778989423,47.68523851,50.31699515,AZO
386,0.769959202,48.72055972,59.88115388,AZO
387,0.760208408,49.85066571,52.3062569,AZO
388,0.750457614,51.06306217,39.29124942,AZO
389,0.74070682,52.34525481,62.69915161,AZO
390,0.730956026,53.68474932,68.13516182,AZO
391,0.721149339,55.07111585,55.35326533,AZO
392,0.710783713,56.51029591,56.20131184,AZO
393,0.700418087,58.01602835,63.61263151,AZO
394,0.69005246,59.6020998,41.4916855,AZO
395,0.679686834,61.25500676,59.99143748,AZO
396,0.66930551,62.72050001,62.66438587,AZO
397,0.658551358,63.66239335,60.67173154,AZO
398,0.647797205,64.14767953,73.94353361,AZO
399,0.637043053,64.46268435,44.32726107,AZO
400,0.6262889,64.77975292,58.94944394,AZO
401,0.615534748,65.01893317,75.77073061,AZO
402,0.60461385,65.06740504,61.87109164,AZO
403,0.593691252,64.86946354,62.18793477,AZO
404,0.582768653,64.5021453,68.42484873,AZO
405,0.571846054,64.06130066,55.40300817,AZO
406,0.560923455,63.6354843,38.42961181,AZO
407,0.550036685,63.2254724,44.56592123,AZO
408,0.539152226,62.77403184,39.03263994,AZO
409,0.528267767,62.25862584,57.23439969,AZO
410,0.517383308,61.75204289,56.35163401,AZO
411,0.506498849,61.3427751,56.97323312,AZO
412,0.4958145,61.09900424,63.40983282,AZO
413,0.485155166,61.03078611,41.69165752,AZO
414,0.474495831,61.13784443,37.23400591,AZO
415,0.463836496,61.41990297,42.46391776,AZO
416,0.453177162,61.87668544,40.71219077,AZO
417,0.442842944,62.5079156,39.563057,AZO
418,0.432571399,63.31089053,40.02502659,AZO
419,0.422299854,64.2402419,57.22377017,AZO
420,0.412028309,65.21417105,59.57363687,AZO
421,0.401756764,66.1722063,54.91473345,AZO
422,0.391897224,67.13363125,59.37074036,AZO
423,0.382148607,68.13557339,61.60028753,AZO
424,0.372399991,69.21889638,53.84555259,AZO
425,0.362651375,70.42800861,64.50749225,AZO
426,0.352902759,71.77633535,66.1946518,AZO
427,0.343617852,73.15280748,63.02961626,AZO
428,0.334498101,74.4179595,57.02672371,AZO
429,0.325378351,75.50142628,61.52741782,AZO
430,0.3162586,76.40567361,53.58812928,AZO
431,0.307138849,77.13664175,57.6889955,AZO
432,0.298503602,77.700271,64.86500839,AZO
433,0.29008923,78.10250165,56.01962831,AZO
434,0.281674858,78.34927397,54.08099248,AZO
435,0.273260487,78.44652825,52.9669544,AZO
436,0.264846115,78.40020477,75.20055585,AZO
437,0.256911272,78.21643113,64.48176,AZO
438,0.249250447,77.90831376,53.00767923,AZO
439,0.241589621,77.49785365,54.51733833,AZO
440,0.233928795,77.00762932,50.11150642,AZO
441,0.226267969,76.46021931,38.2226432,AZO
442,0.219061492,75.87820212,42.45901889,AZO
443,0.212176193,75.28415629,45.61325072,AZO
444,0.205290894,74.70025482,38.43571834,AZO
445,0.198405594,74.12713776,48.80589635,AZO
446,0.191520295,73.5335853,43.00341058,AZO
447,0.185049524,72.88580684,43.90995274,AZO
448,0.178938534,72.16114391,61.45727927,AZO
449,0.172827543,71.41350042,62.80029242,AZO
450,0.166716552,70.7289819,57.32126156,AZO
